,Power,Scan Speed,H_star,Hatch Space,reward
81,50.0,0.7894736842105263,49.710877350714135,0.043421052631578944,-1.0
82,50.0,0.7894736842105263,43.745572068628434,0.049342105263157895,-1.0
83,50.0,0.7894736842105263,39.05854648984682,0.05526315789473684,-1.0
84,50.0,0.7894736842105263,35.2786871521197,0.061184210526315785,-1.0
85,50.0,0.7894736842105263,32.16586181516798,0.06710526315789472,-1.0
86,50.0,0.7894736842105263,29.557818965289478,0.07302631578947369,-1.0
87,50.0,0.7894736842105263,27.340982542892775,0.07894736842105263,-1.0
88,50.0,0.7894736842105263,25.433472132923512,0.08486842105263157,-1.0
89,50.0,0.7894736842105263,23.774767428602413,0.09078947368421052,-1.0
90,50.0,0.7894736842105263,22.31916942276961,0.09671052631578947,-1.0
91,50.0,0.7894736842105263,21.031525032994445,0.10263157894736841,-1.0
92,50.0,0.7894736842105263,19.88435094028565,0.10855263157894737,-1.0
93,50.0,0.7894736842105263,18.855850029581223,0.11447368421052631,-1.0
94,50.0,0.7894736842105263,17.928513142880508,0.12039473684210525,-1.0
95,50.0,0.7894736842105263,17.088114089307986,0.1263157894736842,-1.0
96,50.0,0.7894736842105263,16.322974652473295,0.13223684210526315,-1.0
97,50.0,0.7894736842105263,15.623418595938727,0.1381578947368421,-1.0
98,50.0,0.7894736842105263,14.981360297475495,0.14407894736842103,-1.0
99,50.0,0.7894736842105263,14.389990812048827,0.15,-1.0
100,50.0,0.9368421052631579,52.83918816039531,0.0375,-1.0
101,50.0,0.9368421052631579,45.6338443203414,0.043421052631578944,-1.0
102,50.0,0.9368421052631579,40.15778300190043,0.049342105263157895,-1.0
103,50.0,0.9368421052631579,35.855163394553955,0.05526315789473684,-1.0
104,50.0,0.9368421052631579,32.385308872500346,0.061184210526315785,-1.0
105,50.0,0.9368421052631579,29.527781619044447,0.06710526315789472,-1.0
106,50.0,0.9368421052631579,27.133637163446238,0.07302631578947369,-1.0
107,50.0,0.9368421052631579,25.098614376187772,0.07894736842105263,-1.0
108,50.0,0.9368421052631579,23.34754825691886,0.08486842105263157,-1.0
109,50.0,0.9368421052631579,21.824882066250233,0.09078947368421052,-1.0
110,50.0,0.9368421052631579,20.488664796887974,0.09671052631578947,-1.0
111,50.0,0.9368421052631579,19.30662644322136,0.10263157894736841,-1.0
112,50.0,0.9368421052631579,18.253537728136557,0.10855263157894737,-1.0
113,50.0,0.9368421052631579,17.30938922495708,0.11447368421052631,-1.0
